string,material,material1,material2,medium,surface
"Ink, compressed with gold and silver","['Ink, compressed with gold', 'silver', '', '']","Ink, compressed with gold",silver,,
"Ink, compressed with gold, silver, and colored pigment","['Ink, compressed with gold, silver,', 'colored pigment', '', '']","Ink, compressed with gold, silver,",colored pigment,,
"Ink, gold paint, and colored pencil on wove paper","['', '', 'Ink, gold paint, and colored pencil', 'wove paper']",,,"Ink, gold paint, and colored pencil",wove paper
Intaglio,"['Intaglio', '', '', '']",Intaglio,,,
Intaglio and collograph in color from a paperboard matrix,"['Intaglio', 'collograph in color from a paperboard matrix', '', '']",Intaglio,collograph in color from a paperboard matrix,,
Intaglio and relief print,"['Intaglio', 'relief print', '', '']",Intaglio,relief print,,
Intaglio and woodcut on chine collé,"['', '', 'Intaglio and woodcut', 'chine collé']",,,Intaglio and woodcut,chine collé
Intaglio with photogravure,"['', '', '', '']",,,,
"Intaglio, hand painted shellac","['', '', '', '']",,,,
Iron,"['Iron', '', '', '']",Iron,,,
Iron or bronze with semi-precious stones,"['', '', '', '']",,,,
Ivory,"['Ivory', '', '', '']",Ivory,,,
Jade,"['Jade', '', '', '']",Jade,,,
Jade with gilt,"['', '', '', '']",,,,
Jadeite,"['Jadeite', '', '', '']",Jadeite,,,
Kurume-gasuri indigo-dyed cloth,"['', '', '', '']",,,,
Lacquer,"['Lacquer', '', '', '']",Lacquer,,,
Lacquer and metal,"['Lacquer', 'metal', '', '']",Lacquer,metal,,
Lacquer on wood and inlaid mother of pearl and stone in ivory,"['', '', 'Lacquer', 'wood and inlaid mother of pearl and stone in ivory']",,,Lacquer,wood and inlaid mother of pearl and stone in ivory
Lacquer with gold and silver,"['Lacquer with gold', 'silver', '', '']",Lacquer with gold,silver,,
Lacquered and gilt wood,"['Lacquered', 'gilt wood', '', '']",Lacquered,gilt wood,,
Lacquered wood,"['', '', '', '']",,,,
"Lacquered wood, ivory","['', '', '', '']",,,,
"Lacquered wood, ivory, bone","['', '', '', '']",,,,
Laminated poplar,"['', '', '', '']",,,,
Lead,"['Lead', '', '', '']",Lead,,,
Leather Bound Manuscript Pages,"['', '', '', '']",,,,
Leather relief,"['', '', '', '']",,,,
"Leather, cloth, bronze, carved wood","['', '', '', '']",,,,
Letterpress print,"['', '', '', '']",,,,
