qid,searched,matches,after_work_by,school_of,workshop_of,last_first,description,name,creator_string
Q12068855,yes,yes,,,,"Shaw, J.",,J. Shaw,"[""Shaw, J.""]"
,yes,yes,,,,"Shaw, J. and Hughes, S.G.",,J. Shaw,"[""Shaw, J. and Hughes, S.G.""]"
,yes,no,,,,"Sherman, Levi and Gomez, Carly","1990-, born Seattle, WA",Levi Sherman,"[""Sherman, Levi and Gomez, Carly (1990-, born Seattle, WA)""]"
,yes,no,,,,"Sherraden, Jim","1957-, born Salina, KS",Jim Sherraden,"[""Sherraden, Jim (1957-, born Salina, KS)"",""Sherraden, Jim (1957, born Salina, KS)"",""Sherraden, Jim (1956-, born Salina, KS)"",""Sherraden, Jim, (1957-, born Salina, KS)"",""Sherraden, Jim, for Hatch Show Print (1957-, born Salina, KS)""]"
,yes,no,,,,"Sherrard, Toby","1977-, born Seattle, WA",Toby Sherrard,"[""Sherrard, Toby (1977-, born Seattle, WA)""]"
Q6243041,yes,yes,,,,"Sherwin, John Keyse","English engraver and draftsman, 1751-1790",John Keyse Sherwin,"[""Sherwin, John Keyse (English engraver and draftsman, 1751-1790)""]"
,yes,no,,,,"Shigemasa, Kitabatake",1739-1820,Kitabatake Shigemasa,"[""Shigemasa, Kitabatake  (1739-1820)""]"
Q114709,yes,yes,,,,"Shinoda, Toko","Japanese painter and calligrapher, born 1912 in Manchuria",Toko Shinoda,"[""Shinoda, Toko (Japanese painter and calligrapher, born 1912 in Manchuria)""]"
Q21929739,yes,yes,,,,"Shokler, Harry","American painter and printmaker, 1896-1978",Harry Shokler,"[""Shokler, Harry (American painter and printmaker, 1896-1978)""]"
,yes,no,,,,"Shotz, Allison","American artist, born 1964",Allison Shotz,"[""Shotz, Allison (American artist, born 1964)""]"
,yes,no,,,,"Shuki, Ichiin",,Ichiin Shuki,"[""Shuki, Ichiin""]"
Q3194229,yes,no,,,,Shun'ei,Katsukawa Kyujiro,Shun'ei,"[""Shun'ei (Katsukawa Kyujiro) (1762-1819)""]"
Q11599030,yes,yes,,,,"Shunsensai, Takehara",1775-1825,Takehara Shunsensai,"[""Shunsensai, Takehara  (1775-1825)""]"
,yes,no,,,,"Shwab, Paul",,Paul Shwab,"[""Shwab, Paul""]"
,yes,no,,,,"Sietens, Guntars","1962-, born Kuldiga, Latvia",Guntars Sietens,"[""Sietens, Guntars (1962-, born Kuldiga, Latvia)""]"
Q7812635,yes,yes,,,,"Siler, Todd","American sculptor, born 1953",Todd Siler,"[""Siler, Todd (American sculptor, born 1953)""]"
Q16019224,yes,yes,,,,"Silverstein, Louis","1919-2011, born New York, NY, died Brooklyn, NY",Louis Silverstein,"[""Silverstein, Louis (1919-2011, born New York, NY, died Brooklyn, NY)"",""Silverstein, Louis (ca. 1980)""]"
Q358612,yes,no,,,,"Silvestre, Israël","French printmaker and draftsman, 1621-1691",Israël Silvestre,"[""Silvestre, Israël (French printmaker and draftsman, 1621-1691)""]"
Q3219659,yes,yes,,,,"Simmons, Laurie","American photographer, born 1949",Laurie Simmons,"[""Simmons, Laurie (American photographer, born 1949)""]"
Q6681389,yes,yes,,,,"Simpson, Lorna","American photographer and installation artist, born 1960",Lorna Simpson,"[""Simpson, Lorna (American photographer and installation artist, born 1960)""]"
,yes,yes,,,,"Singer, Charles",,Charles Singer,"[""Singer, Charles""]"
Q64341,yes,no,,,,"Sintenis, Renée","German sculptor, printmaker, and illustrator, 1888-1965",Renée Sintenis,"[""Sintenis, Renée (German sculptor, printmaker, and illustrator, 1888-1965)""]"
Q315647,yes,yes,,,,"Siqueiros, David Alfaro","Mexican painter, 1896-1974",David Alfaro Siqueiros,"[""Siqueiros, David Alfaro (Mexican painter, 1896-1974)""]"
Q18347825,yes,yes,,,,"Sligh, Clarissa T.","American photographer and mixed-media artist, born 1939",Clarissa T. Sligh,"[""Sligh, Clarissa T. (American photographer and mixed-media artist, born 1939)""]"
Q861756,yes,yes,,,,"Sloan, John","American painter, etcher, and illustrator, 1871-1951",John Sloan,"[""Sloan, John (American painter, etcher, and illustrator, 1871-1951)""]"
Q80833252,yes,yes,,,,"Sloan, Robert Smullyan","American painter, born 1915",Robert Smullyan Sloan,"[""Sloan, Robert Smullyan (American painter, born 1915)""]"
Q5398958,yes,yes,,,,"Slobodkina, Esphyr","American painter, illustrator, and textile designer, 1914-2002, born in Russia",Esphyr Slobodkina,"[""Slobodkina, Esphyr (American painter, illustrator, and textile designer, 1914-2002, born in Russia)""]"
,yes,no,,,,"Slowicki, M.",,M. Slowicki,"[""Slowicki, M.""]"
Q61940111,yes,yes,,,,"Smith, Dan","American painter and illustrator, 1865-1934",Dan Smith,"[""Smith, Dan (American painter and illustrator, 1865-1934)""]"
Q726169,yes,yes,,,,"Smith, David","American sculptor, 1906-1965",David Smith,"[""Smith, David (American sculptor, 1906-1965)""]"
Q447300,yes,yes,,,,"Smith, Kiki","American sculptor and printmaker, born 1954",Kiki Smith,"[""Smith, Kiki (American sculptor and printmaker, born 1954)""]"
,yes,yes,,,,"Smith, Peggy","painter, active 20th century",Peggy Smith,"[""Smith, Peggy (painter, active 20th century)""]"
Q98765231,yes,yes,,,,"Smith, Richard","British painter, born 1931",Richard Smith,"[""Smith, Richard (British painter, born 1931)""]"
,yes,yes,,,,"Smyth, David","American painter, born 1943",David Smyth,"[""Smyth, David (American painter, born 1943)""]"
Q931065,yes,yes,,,,"Snelson, Kenneth","Canadian sculptor, born 1927",Kenneth Snelson,"[""Snelson, Kenneth (Canadian sculptor, born 1927)""]"
Q931065,yes,yes,,,,"Snelson, Kenneth D.","American sculptor and photographer, born 1927;1927-2016, born Pendleton, OR, died New York, NY",Kenneth D. Snelson,"[""Snelson, Kenneth D. (American sculptor and photographer, born 1927)"",""Snelson, Kenneth (1927-2016, born Pendleton, OR, died New York, NY)""]"
,yes,yes,,,,Soken,"Japanese painter, 1759-1818",Soken,"[""Soken (Japanese painter, 1759-1818)""]"
Q21995272,yes,yes,,,,"Solow, Peter","American painter, active 20th century",Peter Solow,"[""Solow, Peter (American painter, active 20th century)""]"
Q55219798,yes,yes,,,,"Sonenberg, Jack","American painter, born 1925",Jack Sonenberg,"[""Sonenberg, Jack (American painter, born 1925)""]"
,yes,no,,,,"Sook, Koo Kyung","1960-, born Seoul, Korea",Koo Kyung Sook,"[""Sook, Koo Kyung (1960-, born Seoul, Korea)""]"
,yes,no,,,,"Soreff, Helen","American painter, 20th century",Helen Soreff,"[""Soreff, Helen (American painter, 20th century)""]"
,yes,no,,,,"Soyen, Kabocha",,Kabocha Soyen,"[""Soyen, Kabocha""]"
Q2131415,yes,yes,,,,"Soyer, Raphael","American painter and lithographer, 1899-1987",Raphael Soyer,"[""Soyer, Raphael (American painter and lithographer, 1899-1987)""]"
Q38030520,yes,yes,,,,"Sparks, Nathaniel","English watercolorist and etcher, 1880-1957",Nathaniel Sparks,"[""Sparks, Nathaniel (English watercolorist and etcher, 1880-1957)""]"
,yes,no,,,,"Speakman, Harold",,Harold Speakman,"[""Speakman, Harold""]"
,yes,no,,,,"Spinola, Lily",,Lily Spinola,"[""Spinola, Lily""]"
Q49724699,yes,yes,,,,"Spring, Jessica for Springtide Press",for Springtide Press,Jessica Spring,"[""Spring, Jessica for Springtide Press""]"
Q95287880,yes,yes,,,,"Springer, Ferdinand","German painter, born 1907, active in France",Ferdinand Springer,"[""Springer, Ferdinand (German painter, born 1907, active in France)""]"
Q269079,yes,yes,,,,"Springinklee, Hans","German painter, draftsman, and printmaker, ca. 1495-after 1522",Hans Springinklee,"[""Springinklee, Hans (German painter, draftsman, and printmaker, ca. 1495-after 1522)""]"
Q7615294,yes,yes,,,,"Spurrier, Steven","English illustrator, painter, and draftsman, 1878-1961",Steven Spurrier,"[""Spurrier, Steven (English illustrator, painter, and draftsman, 1878-1961)"",""Spurrier, Steven (1878-1961)""]"
,yes,yes,,,,"St. John, James Allen",1872-1957,James Allen St. John,"[""St. John, James Allen  (1872-1957)""]"
,yes,no,,,,"Stackelhaus, Heiner",,Heiner Stackelhaus,"[""Stackelhaus, Heiner""]"
Q98755555,yes,no,,,,"Stahl, Margareta",,Margareta Stahl,"[""Stahl, Margareta""]"
Q7153754,yes,yes,,,,"Stahr, Paul","American graphic designer, 1883-1953",Paul Stahr,"[""Stahr, Paul (American graphic designer, 1883-1953)""]"
,yes,no,,,,"Stang, George",,George Stang,"[""Stang, George""]"
,yes,no,,,,"Stark, George King","1923-1992, born Schenectady, NY, died Granby, NY",George King Stark,"[""Stark, George King (1923-1992, born Schenectady, NY, died Granby, NY)""]"
,yes,no,,,,"Starowieysky, Franciszek","1930-, born Bratkówka, Poland",Franciszek Starowieysky,"[""Starowieysky, Franciszek (1930-, born Bratkówka, Poland)""]"
Q6115333,yes,yes,,,,"Stauffacher, Jack Werner and Camus, Albert",JWS: 1920-; AC: 1913-1960,Jack Werner Stauffacher,"[""Stauffacher, Jack Werner and Camus, Albert (JWS: 1920-; AC: 1913-1960)""]"
Q64547233,yes,yes,,,,"Steichen, Edward Jean","American photographer, 1879-1973",Edward Jean Steichen,"[""Steichen, Edward Jean (American photographer, 1879-1973)""]"
Q706041,yes,no,,,,"Steinlen, Théophile Alexandre","Swiss painter and printmaker, 1859-1923",Théophile Alexandre Steinlen,"[""Steinlen, Théophile Alexandre (Swiss painter and printmaker, 1859-1923)""]"
Q605799,yes,yes,,,,"Stella, Claudine","French painter and engraver, 1636-1697",Claudine Stella,"[""Stella, Claudine (French painter and engraver, 1636-1697)""]"
,yes,yes,,,,"Stewart, John P.",1945-,John P. Stewart,"[""Stewart, John P. (1945-)""]"
Q4802573,yes,yes,,,,"Stillman, Ary","American painter, 1891-1967",Ary Stillman,"[""Stillman, Ary (American painter, 1891-1967)""]"
,yes,yes,,,,"Storm, La Rue","1908-, born Miami, FL",La Rue Storm,"[""Storm, La Rue (1908-, born Miami, FL)""]"
Q20815857,yes,yes,,,,"Storr, Robert","1949-, born Portland, ME",Robert Storr,"[""Storr, Robert (1949-, born Portland, ME)""]"
Q143595,yes,yes,,,,"Straet, Jan van der","Flemish painter, died 1535",Jan van der Straet,"[""Straet, Jan van der (Flemish painter, died 1535)""]"
Q2547129,yes,yes,,,,"Strang, William","Scottish painter and printmaker, 1859-1921",William Strang,"[""Strang, William (Scottish painter and printmaker, 1859-1921)""]"
Q94404007,yes,yes,,,,"Strauser, Sterling Boyd","American painter, 1907-1995",Sterling Boyd Strauser,"[""Strauser, Sterling Boyd (American painter, 1907-1995)""]"
Q99604489,yes,yes,,,,"Stroud, Peter","American painter, born 1921",Peter Stroud,"[""Stroud, Peter (American painter, born 1921)""]"
Q16062742,yes,yes,,,,"Stuart, Jane","American painter, ca.1812-1888",Jane Stuart,"[""Stuart, Jane (American painter, ca.1812-1888)""]"
Q94888280,yes,yes,,,,"Stuck, Franz von","German painter, sculptor, and draftsman, 1863-1928",Franz von Stuck,"[""Stuck, Franz von (German painter, sculptor, and draftsman, 1863-1928)""]"
Q45458157,yes,yes,,,,Su Liupeng,"1791-1862, born Giuangdong, China",Su Liupeng,"[""Su Liupeng (1791-1862, born Giuangdong, China)""]"
,yes,yes,,,,Su-chin Wen Chen,"1914-, born Wu-hsing, Chekiang Province, China",Su-chin Wen Chen,"[""Su-chin Wen Chen (1914-, born Wu-hsing, Chekiang Province, China)""]"
,yes,no,,,,"Sudyka, Diana",1972-,Diana Sudyka,"[""Sudyka, Diana (1972-)""]"
Q82733672,yes,yes,,,,"Sueur, Nicolas Le and Comte de Caylus",,Nicolas Le Sueur,"[""Sueur, Nicolas Le and Comte de Caylus ""]"
Q321715,yes,no,,,,"Sugaï, Kumi","Japanese painter, sculptor, and printmaker, 1919-1996, active in France",Kumi Sugaï,"[""Sugaï, Kumi (Japanese painter, sculptor, and printmaker, 1919-1996, active in France)""]"
Q1920946,yes,yes,,,,"Sugarman, George","American sculptor, 1912-1999",George Sugarman,"[""Sugarman, George (American sculptor, 1912-1999)""]"
,yes,yes,,,,"Sugawara, Hakuryu","1833-1898, born Uzen Province, Japan",Hakuryu Sugawara,"[""Sugawara, Hakuryu (1833-1898, born Uzen Province, Japan)""]"
,yes,yes,,,,Suishu,,Suishu,"[""Suishu""]"
,yes,no,,,,Suison,,Suison,"[""Suison""]"
Q5044573,yes,yes,,,,"Summers, Carol","American printmaker, born 1925",Carol Summers,"[""Summers, Carol (American printmaker, born 1925)""]"
Q28052050,yes,yes,,,,"Sutherland, Graham Vivian","English painter and printmaker, 1903-1980",Graham Vivian Sutherland,"[""Sutherland, Graham Vivian (English painter and printmaker, 1903-1980)""]"
Q18508689,yes,yes,,,,"Sutherland, Thomas","English engraver, 1785-1838",Thomas Sutherland,"[""Sutherland, Thomas (English engraver, 1785-1838)"",""Sutherland, Thomas & Wolstenhome, Dean ""]"
,yes,yes,,,,"Sutton, Sharon",,Sharon Sutton,"[""Sutton, Sharon""]"
Q21462038,yes,yes,,,,"Sutton, Trevor","British painter, born 1948",Trevor Sutton,"[""Sutton, Trevor (British painter, born 1948)""]"
Q360978,yes,yes,,,,Suzuki Harunobu,"Japanese printmaker, 1725-1770",Suzuki Harunobu,"[""Suzuki Harunobu (Japanese printmaker, 1725-1770)""]"
,yes,no,,,,"Suzuki, Rinsho",,Rinsho Suzuki,"[""Suzuki, Rinsho ""]"
Q21995288,yes,yes,,,,"Swain, Robert","American painter, born 1940",Robert Swain,"[""Swain, Robert (American painter, born 1940)""]"
Q1961244,yes,yes,,,,"Swanenburg, Willem van","Dutch engraver, 1580-1612",Willem van Swanenburg,"[""Swanenburg, Willem van (Dutch engraver, 1580-1612)""]"
,yes,no,,,,"Tabata, Kiyoe",,Kiyoe Tabata,"[""Tabata, Kiyoe""]"
,yes,no,,,,"Taguchi, Hidekichi",,Hidekichi Taguchi,"[""Taguchi, Hidekichi""]"
Q5586,yes,yes,,,,"Taito, Katsushika, II","Japanese printmaker, active ca. 1820-1850",Katsushika Taito II,"[""Taito, Katsushika, II (Japanese printmaker, active ca. 1820-1850)""]"
Q87749338,yes,no,,,,"Takacs, Paul",,Paul Takacs,"[""Takacs, Paul""]"
Q7827716,yes,yes,,,,"Takaezu, Toshiko","American ceramicist, 1922-2011",Toshiko Takaezu,"[""Takaezu, Toshiko (American ceramicist, 1922-2011)""]"
Q67390260,yes,yes,,,,"Takahashi, Hiroaki",Shōtei,Hiroaki Takahashi,"[""Takahashi, Hiroaki (Shōtei)  (1871-1945)""]"
Q21556380,yes,no,,,,"Talleur, Linda Samson",,Linda Samson Talleur,"[""Talleur, Linda Samson""]"
Q690790,yes,yes,,,,"Tamayo, Rufino","Mexican painter, printmaker, and sculptor, 1899-1991",Rufino Tamayo,"[""Tamayo, Rufino (Mexican painter, printmaker, and sculptor, 1899-1991)""]"
Q1375891,yes,no,,,,Tani Bunchō,"Japanese painter, 1763-1840",Tani Bunchō,"[""Tani Bunchō (Japanese painter, 1763-1840)""]"
Q234324,yes,yes,,,,"Tanning, Dorothea","American painter, lithographer, and sculptor, 1910-2012",Dorothea Tanning,"[""Tanning, Dorothea (American painter, lithographer, and sculptor, 1910-2012)""]"
Q334351,yes,no,,,,Tao Kuang,1821-1850,Tao Kuang,"[""Tao Kuang (1821-1850)""]"
Q158099,yes,no,,,,"Tàpies, Antoni","1923-2012, born Barcelona, Spain, died Barcelona, Spain",Antoni Tàpies,"[""Tàpies, Antoni (1923-2012, born Barcelona, Spain, died Barcelona, Spain)"",""Tàpies, Antoni (Spanish painter, 1923-2012)""]"
Q6958929,yes,yes,,,,"Tavella, Carlo Antonio","Italian painter, 1668-1738",Carlo Antonio Tavella,"[""Tavella, Carlo Antonio (Italian painter, 1668-1738)""]"
Q6234155,yes,yes,,,,"Tayler, Frederick","English painter and printmaker, 1802-1889",Frederick Tayler,"[""Tayler, Frederick (English painter and printmaker, 1802-1889)""]"
Q21460866,yes,yes,,,,"Taylor, Fred","English painter, illustrator, and poster artist, 1875-1963",Fred Taylor,"[""Taylor, Fred (English painter, illustrator, and poster artist, 1875-1963)""]"
,yes,no,,,,"Teeuwen, Tjue & Peter Foolen","1955-, 1955-, born Eindhoven, Netherlands",Tjue Teeuwen,"[""Teeuwen, Tjue & Peter Foolen (1955-, 1955-, born Eindhoven, Netherlands)""]"
,yes,no,,,,"Teixidor, Ferran","Spanish painter, born 1936",Ferran Teixidor,"[""Teixidor, Ferran (Spanish painter, born 1936)""]"
Q481327,yes,no,,,,"Télémaque, Hervé","French painter and sculptor, born 1937",Hervé Télémaque,"[""Télémaque, Hervé (French painter and sculptor, born 1937)""]"
Q6297639,yes,yes,,,,"Tenneson, Joyce","American photographer and author, born 1945",Joyce Tenneson,"[""Tenneson, Joyce (American photographer and author, born 1945)""]"
,yes,no,,,,"Teru, Okada",1947-,Okada Teru,"[""Teru, Okada (1947-)""]"
Q17219892,yes,yes,,,,Tetsuzan,"Japanese painter, 1775-1841",Tetsuzan,"[""Tetsuzan (Japanese painter, 1775-1841)""]"
,yes,no,,,,"Thacker, Terry",1955-,Terry Thacker,"[""Thacker, Terry (1955-)""]"
Q306759,yes,yes,,,,"Thayer, Abbott Handerson","American painter and naturalist, 1849-1921",Abbott Handerson Thayer,"[""Thayer, Abbott Handerson (American painter and naturalist, 1849-1921)""]"
Q23038869,yes,yes,,,,"Thomas, Anne Wall","1928-2014, born Lilesville, NC, died Chapel Hill, North Carolina",Anne Wall Thomas,"[""Thomas, Anne Wall (1928-2014, born Lilesville, NC, died Chapel Hill, North Carolina)"",""Thomas, Anne Wall (1928-2014, born Lilesville, NC, died Chapel Hill, NC)""]"
Q21598753,yes,yes,,,,"Thomas, Howard","American painter, engraver, lithographer, and educator, 1899-1971",Howard Thomas,"[""Thomas, Howard (American painter, engraver, lithographer, and educator, 1899-1971)""]"
,yes,yes,,,,"Thompson, Donald","1933-, born Fowler, CA",Donald Thompson,"[""Thompson, Donald (1933-, born Fowler, CA)"",""Thompson, Donald (1936-)""]"
,yes,yes,,,,"Thompson, Kenneth K.",,Kenneth K. Thompson,"[""Thompson, Kenneth K.""]"
,yes,yes,,,,"Thompson, Ron",,Ron Thompson,"[""Thompson, Ron""]"
Q5546919,yes,yes,,,,"Thornley, William","French painter, draftsman, and lithographer, 1857-1935",William Thornley,"[""Thornley, William (French painter, draftsman, and lithographer, 1857-1935)""]"
Q55228971,yes,yes,,,,"Tiebout, Cornelius","American engraver, painter, and teacher, ca. 1773-1832",Cornelius Tiebout,"[""Tiebout, Cornelius (American engraver, painter, and teacher, ca. 1773-1832)""]"
Q11621791,yes,no,,,,"Tokki (Kangetsu), Shitomi",Kangetsu,Shitomi Tokki (Kangetsu),"[""Tokki (Kangetsu), Shitomi  (1747-1797)""]"
Q610767,yes,yes,,,,"Tomaszewski, Henryk and Joseph Wright","1914-2005, born Warsaw, Poland, died Warsaw, Poland",Henryk Tomaszewski,"[""Tomaszewski, Henryk and Joseph Wright (1914-2005, born Warsaw, Poland, died Warsaw, Poland)""]"
Q1377454,yes,yes,,,,Tomioka Tessai,"Japanese painter, 1836-1924",Tomioka Tessai,"[""Tomioka Tessai (Japanese painter, 1836-1924)""]"
Q21866302,yes,yes,,,,"Tomlinson, Frank",,Frank Tomlinson,"[""Tomlinson, Frank""]"
Q3160350,yes,yes,,,,"Tonnancour, Jacques de","Canadian painter and printmaker, 1917-2005",Jacques de Tonnancour,"[""Tonnancour, Jacques de (Canadian painter and printmaker, 1917-2005)""]"
Q5441839,yes,yes,,,,"Topolski, Feliks","Polish painter and draftsman, 1907-1989",Feliks Topolski,"[""Topolski, Feliks (Polish painter and draftsman, 1907-1989)""]"
Q3136173,yes,yes,,,,Torii Kiyomitsu I,"Japanese printmaker, 1735-1785",Torii Kiyomitsu I,"[""Torii Kiyomitsu I (Japanese printmaker, 1735-1785)""]"
Q427642,yes,yes,,,,Torii Kiyonaga,"Japanese printmaker, painter, and draftsman, 1752-1815",Torii Kiyonaga,"[""Torii Kiyonaga (Japanese printmaker, painter, and draftsman, 1752-1815)""]"
,yes,yes,,,,"Tosh, Paul,","1954-, born Kingsport, TN",Paul Tosh,"[""Tosh, Paul, (1954-, born Kingsport, TN)""]"
,yes,no,,,,"Toshiaki, Yu-u sai",,Yu-u sai Toshiaki,"[""Toshiaki, Yu-u sai""]"
Q361174,yes,no,,,,Tōshūsai Sharaku,"Japanese printmaker, active 1794-1795",Tōshūsai Sharaku,"[""Tōshūsai Sharaku (Japanese printmaker, active 1794-1795)""]"
Q82445,yes,yes,,,,"Toulouse-Lautrec, Henri de","French painter, printmaker, and draftsman, 1864-1901",Henri de Toulouse-Lautrec,"[""Toulouse-Lautrec, Henri de (French painter, printmaker, and draftsman, 1864-1901)""]"
Q61911552,yes,yes,,,,"Tourlentes, Stephen","1959-, born Galesburg, IL",Stephen Tourlentes,"[""Tourlentes, Stephen (1959-, born Galesburg, IL)""]"
Q5668720,yes,yes,,,,"Townsend, Harry Everett","American painter, illustrator, and printmaker, 1879-1941",Harry Everett Townsend,"[""Townsend, Harry Everett (American painter, illustrator, and printmaker, 1879-1941)""]"
,yes,no,,,,"Toykuni, Utagawa",1769-1825,Utagawa Toykuni,"[""Toykuni, Utagawa  (1769-1825)""]"
Q48514,yes,no,,,,Tōyō Sesshū,"Japanese painter and monk, 1420-1506",Tōyō Sesshū,"[""Tōyō Sesshū (Japanese painter and monk, 1420-1506)""]"
Q2738241,yes,yes,,,,"Toyohara, Kunichika","Japanese printmaker, 1835-1900",Kunichika Toyohara,"[""Toyohara, Kunichika (Japanese printmaker, 1835-1900)""]"
Q3074993,yes,yes,,,,Toyokuni II,"Japanese painter and printmaker, 1777-1835",Toyokuni II,"[""Toyokuni II (Japanese painter and printmaker, 1777-1835)""]"
Q52154484,yes,yes,,,,"Toyota, Hokkei","Japanese book illustrator and printmaker, 1780-1850",Hokkei Toyota,"[""Toyota, Hokkei (Japanese book illustrator and printmaker, 1780-1850)""]"
,yes,no,,,,"Tsuchiya, Kōitsu",1870-1949,Kōitsu Tsuchiya,"[""Tsuchiya, Kōitsu (1870-1949)"",""Tsuchiya , Kōitsu (1870-1949)""]"
Q467337,yes,yes,,,,Tsukioka Yoshitoshi,"Japanese painter, 1839-1892",Tsukioka Yoshitoshi,"[""Tsukioka Yoshitoshi (Japanese painter, 1839-1892)""]"
Q100937563,yes,yes,,,,"Tucker, William","American sculptor, born 1935",William Tucker,"[""Tucker, William (American sculptor, born 1935)""]"
,yes,no,,,,Tung Tsou-ping,,Tung Tsou-ping,"[""Tung Tsou-ping""]"
,yes,yes,,,,"Tur Costa, Rafael","1927-, born Santa Eulalia, Ibiza, Spain",Rafael Tur Costa,"[""Tur Costa, Rafael (1927-, born Santa Eulalia, Ibiza, Spain)""]"
Q21542105,yes,yes,,,,"Turchi, Alessandro","Italian painter, 1578-1649",Alessandro Turchi,"[""Turchi, Alessandro (Italian painter, 1578-1649)""]"
,yes,no,,,,"Turmohlen, Karl",,Karl Turmohlen,"[""Turmohlen, Karl""]"
,yes,yes,,,,Turnbull,,Turnbull,"[""Turnbull""]"
,yes,yes,,,,"Turner, Arthur",,Arthur Turner,"[""Turner, Arthur""]"
,yes,yes,,,,"Turner, F.C. and Beckwith, Henry",1810-1846,F.C. Turner,"[""Turner, F.C. and Beckwith, Henry (1810-1846)""]"
Q60533514,yes,yes,,,,"Turner, Joseph Mallord William","English painter and draftsman, 1775-1851",Joseph Mallord William Turner,"[""Turner, Joseph Mallord William (English painter and draftsman, 1775-1851)""]"
Q16731731,yes,yes,,,,"Turner, Lynne Woods","1951-, born Dallas, TX",Lynne Woods Turner,"[""Turner, Lynne Woods (1951-, born Dallas, TX)""]"
Q7177423,yes,yes,,,,"Turnley, Peter","1955-, born Fort Wayne, IN",Peter Turnley,"[""Turnley, Peter (1955-, born Fort Wayne, IN)""]"
Q3496871,yes,yes,,,,"Twardowicz, Stanley Jan","American painter and photographer, born 1917",Stanley Jan Twardowicz,"[""Twardowicz, Stanley Jan (American painter and photographer, born 1917)""]"
Q654902,yes,yes,,,,"Ubac, Raoul","Belgian painter, sculptor, and printmaker, 1910-1985, active in France",Raoul Ubac,"[""Ubac, Raoul (Belgian painter, sculptor, and printmaker, 1910-1985, active in France)""]"
,yes,no,,,,"Ubeda, Augustin","Spanish artist, born 1925",Augustin Ubeda,"[""Ubeda, Augustin (Spanish artist, born 1925)""]"
Q63540053,yes,yes,,,,"Uchima, Ansei","American printmaker, born 1921",Ansei Uchima,"[""Uchima, Ansei (American printmaker, born 1921)""]"
,yes,no,,,,"Ulman, Elenor",,Elenor Ulman,"[""Ulman, Elenor""]"
Q18508744,yes,yes,,,,"Unger, William","German painter and engraver, 1837-1932",William Unger,"[""Unger, William (German painter and engraver, 1837-1932)""]"
,yes,no,,,,"Unkoku,Tōteki",1606-1664,Tōteki Unkoku,"[""Unkoku,Tōteki (1606-1664)""]"
Q3048405,yes,no,,,,"Úrculo, Eduardo","1938-2003, born Santurce, Spain",Eduardo Úrculo,"[""Úrculo, Eduardo (1938-2003, born Santurce, Spain)""]"
Q467427,yes,yes,,,,Utagawa Kunisada,"Japanese printmaker and illustrator, 1786-1864",Utagawa Kunisada,"[""Utagawa Kunisada (Japanese printmaker and illustrator, 1786-1864)""]"
Q317736,yes,yes,,,,Utagawa Kuniyoshi,"Japanese painter, printmaker, and illustrator, 1798-1861",Utagawa Kuniyoshi,"[""Utagawa Kuniyoshi (Japanese painter, printmaker, and illustrator, 1798-1861)""]"
Q950316,yes,yes,,,,Utagawa Toyokuni,"Japanese painter and printmaker, 1769-1825",Utagawa Toyokuni,"[""Utagawa Toyokuni (Japanese painter and printmaker, 1769-1825)""]"
Q108301,yes,yes,,,,"Utrillo, Maurice","French painter, 1883-1955",Maurice Utrillo,"[""Utrillo, Maurice (French painter, 1883-1955)""]"
,yes,no,,,,"Vail, Clover","American painter, born 1939",Clover Vail,"[""Vail, Clover (American painter, born 1939)""]"
Q156889,yes,yes,,,,"Valadon, Suzanne","French painter, model, 1865-1938",Suzanne Valadon,"[""Valadon, Suzanne (French painter, model, 1865-1938)""]"
Q11946185,yes,yes,,,,"Valles, Roman","Spanish artist, born 1923",Roman Valles,"[""Valles, Roman (Spanish artist, born 1923)""]"
Q61963892,yes,yes,,,,"Vallmitjana Garrido, August","Spanish painter, born 1894",August Vallmitjana Garrido,"[""Vallmitjana Garrido, August (Spanish painter, born 1894)""]"
Q17194393,yes,yes,,,,"Van Hoesen, Beth","American printmaker, born 1926",Beth Van Hoesen,"[""Van Hoesen, Beth (American printmaker, born 1926)""]"
,yes,yes,,,,"van Riesen, Wouter","1967-, born Bloemendaal, Holland",Wouter van Riesen,"[""van Riesen, Wouter (1967-, born Bloemendaal, Holland)""]"
,yes,yes,,,,"Vanderbilt, Jacob",,Jacob Vanderbilt,"[""Vanderbilt, Jacob""]"
,yes,no,,,,"Vanderkooi, Lenore","1943-, born Boston, MA",Lenore Vanderkooi,"[""Vanderkooi, Lenore (1943-, born Boston, MA)""]"
,yes,no,,,,"Varin, R.",,R. Varin,"[""Varin, R.""]"
Q154448,yes,yes,,,,"Vasarely, Victor","French painter and printmaker, 1906 or 1908-1997",Victor Vasarely,"[""Vasarely, Victor (French painter and printmaker, 1906 or 1908-1997)""]"
,yes,no,,,,"Vasek, Vera","1959-, born Buffalo, NY",Vera Vasek,"[""Vasek, Vera (1959-, born Buffalo, NY)""]"
Q664257,yes,yes,,,,"Vedova, Emilio","Italian painter, sculptor, and printmaker, 1919-2006",Emilio Vedova,"[""Vedova, Emilio (Italian painter, sculptor, and printmaker, 1919-2006)""]"
Q569021,yes,yes,,,,"Velde, Bram van","Dutch painter and printmaker, 1895-1981",Bram van Velde,"[""Velde, Bram van (Dutch painter and printmaker, 1895-1981)""]"
