qid,searched,matches,after_work_by,school_of,workshop_of,last_first,description,name,creator_string
,yes,no,,,,"Bonfils, Susan",,Susan Bonfils,"[""Bonfils, Susan""]"
,yes,no,,,,"Bong, Woo",ca. 1948,Woo Bong,"[""Bong, Woo (ca. 1948)""]"
,yes,no,,,,"Bonifacio, Alfonso Gomez",1933-2011,Alfonso Gomez Bonifacio,"[""Bonifacio, Alfonso Gomez (1933-2011)""]"
Q44433952,yes,yes,,,,"Boothe, Power Robert","American painter, born 1945",Power Robert Boothe,"[""Boothe, Power Robert (American painter, born 1945)""]"
Q62958479,yes,yes,,,,"Boretz, Naomi","American painter, active 20th century",Naomi Boretz,"[""Boretz, Naomi (American painter, active 20th century)""]"
Q1697296,yes,yes,,,,"Bosboom, Johannes","Dutch artist, 1817-1891",Johannes Bosboom,"[""Bosboom, Johannes (Dutch artist, 1817-1891)""]"
Q326215,yes,yes,,,,"Bosse, Abraham","French printmaker, 1602-1676",Abraham Bosse,"[""Bosse, Abraham (French printmaker, 1602-1676)"",""Bosse, Abraham (1602/04-1676)""]"
,yes,no,,,,"Bossi, Benignio and Mazzuoli, Francesco",,Benignio Bossi,"[""Bossi, Benignio and Mazzuoli, Francesco""]"
Q981631,yes,yes,,,,"Both, Jan","Dutch painter, ca. 1618-1652",Jan Both,"[""Both, Jan (Dutch painter, ca. 1618-1652)""]"
Q59525409,yes,yes,,,,"Bouleau, Charles",1906-1987,Charles Bouleau,"[""Bouleau, Charles (1906-1987)""]"
Q314350,yes,yes,,,,"Bourdelle, Emile-Antoine","French sculptor, 1861-1929",Emile-Antoine Bourdelle,"[""Bourdelle, Emile-Antoine (French sculptor, 1861-1929)""]"
Q22812990,yes,yes,,,,"Bourgeois, Louise","French-American sculptor, 1911-2010",Louise Bourgeois,"[""Bourgeois, Louise (French-American sculptor, 1911-2010)""]"
,yes,no,,,,"Bourne, Jean-Baptiste-Clement",1844-1866,Jean-Baptiste-Clement Bourne,"[""Bourne, Jean-Baptiste-Clement (1844-1866)""]"
,yes,no,,,,Bouslough,,Bouslough,"[""Bouslough""]"
Q28731157,yes,yes,,,,"Boyd-Smith, E.","British draftsman, 1860-1943",E. Boyd-Smith,"[""Boyd-Smith, E. (British draftsman, 1860-1943)""]"
Q22001567,yes,yes,,,,"Boyle, Keith","American painter, born 1930",Keith Boyle,"[""Boyle, Keith (American painter, born 1930)""]"
Q6111358,yes,yes,,,,"Boynton, James W.","1928-2010, born Fort Worth, TX, died Houston, TX",James W. Boynton,"[""Boynton, James W.  (1928-2010, born Fort Worth, TX, died Houston, TX)""]"
,yes,yes,,,,"Boyse, William H.",,William H. Boyse,"[""Boyse, William H.""]"
,yes,no,,,,"Boysen, William H.",,William H. Boysen,"[""Boysen, William H.""]"
Q7149478,yes,yes,,,,"Brach, Paul Henry","American painter, 1924-2007",Paul Henry Brach,"[""Brach, Paul Henry (American painter, 1924-2007)""]"
Q37912626,yes,no,,,,"Bracker, M. Leone","American illustrator, 1885-1937",M. Leone Bracker,"[""Bracker, M. Leone (American illustrator, 1885-1937)""]"
Q96401814,yes,yes,,,,"Bracony, Armand Etienne",1825-1894,Armand Etienne Bracony,"[""Bracony, Armand Etienne (1825-1894)""]"
Q633574,yes,yes,,,,"Bracquemond, Félix","French painter, etcher, and ceramicist, 1833-1914",Félix Bracquemond,"[""Bracquemond, Félix (French painter, etcher, and ceramicist, 1833-1914)""]"
Q43375277,yes,yes,,,,"Bracquemond, Pierre","French painter, 1870-1926",Pierre Bracquemond,"[""Bracquemond, Pierre (French painter, 1870-1926)""]"
,yes,yes,,,,"Bradley, Marvin",,Marvin Bradley,"[""Bradley, Marvin""]"
Q979381,yes,yes,,,,"Bramer, Leonard","Dutch painter and printmaker, 1596-1674",Leonard Bramer,"[""Bramer, Leonard (Dutch painter and printmaker, 1596-1674)""]"
Q560115,yes,yes,,,,"Brangwyn, Frank","English painter and graphic artist, 1867-1956",Frank Brangwyn,"[""Brangwyn, Frank (English painter and graphic artist, 1867-1956)""]"
,yes,no,,,,"Branolt, Gernot",,Gernot Branolt,"[""Branolt, Gernot""]"
,yes,no,,,,"Branson, Bernice M.",1882-1936,Bernice M. Branson,"[""Branson, Bernice M. (1882-1936)""]"
Q153793,yes,yes,,,,"Braque, Georges","French painter, sculptor, and draftsman, 1882-1963",Georges Braque,"[""Braque, Georges (French painter, sculptor, and draftsman, 1882-1963)""]"
,yes,yes,,,,"Brees, S. C. and Harden, S. Melville","1832-1837, 1837-1879",S. C. Brees,"[""Brees, S. C. and Harden, S. Melville (1832-1837, 1837-1879 )""]"
,yes,no,,,,"Bregeon, Angélique",1743-1782,Angélique Bregeon,"[""Bregeon, Angélique (1743-1782)""]"
Q61055,yes,yes,,,,"Breker, Arno","German sculptor, 1900-1991",Arno Breker,"[""Breker, Arno (German sculptor, 1900-1991)""]"
Q22091105,yes,yes,,,,"Brethouwer, Harmen","1960-, born Aalten, Netherlands",Harmen Brethouwer,"[""Brethouwer, Harmen (1960-, born Aalten, Netherlands)""]"
Q5548964,yes,yes,,,,"Brockhurst, Gerald L.","British painter and printmaker, 1890-1978, active in United States",Gerald L. Brockhurst,"[""Brockhurst, Gerald L. (British painter and printmaker, 1890-1978, active in United States)""]"
Q23071496,yes,yes,,,,"Broner, Erwin","Spanish architect, 1898-1971",Erwin Broner,"[""Broner, Erwin (Spanish architect, 1898-1971)""]"
,yes,yes,,,,"Brown, Clinton",,Clinton Brown,"[""Brown, Clinton ""]"
Q56280260,yes,yes,,,,"Brown, Henry","1965-, born Washington, D.C.",Henry Brown,"[""Brown, Henry (1965-, born Washington, D.C.)""]"
